Full name:,Date of birth:,Place of birth:,Age:,Height:,Citizenship:,Position:,Foot:,Player agent:,                            Current club:                        ,Joined:,Contract expires:,Date of last contract extension:,Outfitter:,Social-Media:,Market Value,Name in home country:,Contract option:,On loan from:,Contract there expires:,2nd club:,3nd club:
Asmir Begovic,"Jun 20, 1987 ",Trebinje   ,35,"1,99 m",  Bosnia-Herzegovina  Canada                            ,                            Goalkeeper                        ,right,Wasserman ,Everton FC ,"                                Jul 20, 2021                            ","Jun 30, 2023","Jun 10, 2022",Nike,"['http://twitter.com/asmir1', 'http://www.facebook.com/asmirofficial', 'http://www.instagram.com/asmir1/', 'http://www.asmir1.com', 'http://vm.tiktok.com/ZMNdsck9k']",                $1.10m                ,Asmir Begović,,,,,
Andy Lonergan,"Oct 19, 1983 ",Preston   ,38,"1,93 m",  England                            ,                            Goalkeeper                        ,left,UKSPORTMAN.AGENCY ,Everton FC ,"                                Aug 20, 2021                            ","Jun 30, 2023","Jul 11, 2022",,"['http://twitter.com/lonners24', 'http://www.instagram.com/lonners24/']",                $275Th.                ,Andrew Michael Lonergan,,,,,
Conor Coady,"Feb 25, 1993 ",Liverpool   ,29,"1,85 m",  England                            ,                            Defender - Centre-Back                        ,right,World in Motion ,Everton FC ,"                                Aug 8, 2022                            ","Jun 30, 2023",,adidas,['http://www.instagram.com/conorcoady_/'],                $27.50m                ,Conor David Coady,Option to buy,Wolverhampton Wanderers,"Jun 30, 2025",,
James Tarkowski,"Nov 19, 1992 ",Manchester   ,29,"1,85 m",  England  Poland                            ,                            Defender - Centre-Back                        ,right,,Everton FC ,"                                Jul 2, 2022                            ","Jun 30, 2026",,,"['http://twitter.com/Tarky19', 'http://www.instagram.com/tarky19/']",                $24.20m                ,James Alan Tarkowski,,,,,
Michael Keane,"Jan 11, 1993 ",Manchester   ,29,"1,88 m",  England  Ireland                            ,                            Defender - Centre-Back                        ,right,New Era Global Sports ,Everton FC ,"                                Jul 3, 2017                            ","Jun 30, 2025","Aug 30, 2020",Nike,"['http://twitter.com/michaelkeane04', 'http://www.instagram.com/michaelkeane93/']",                $22.00m                ,Michael Vincent Keane,,,,,
Yerry Mina,"Sep 23, 1994 ",Guachené   ,27,"1,95 m",  Colombia                            ,                            Defender - Centre-Back                        ,right,Wasserman ,Everton FC ,"                                Aug 9, 2018                            ","Jun 30, 2023",,adidas,"['http://www.facebook.com/yerryminaofficial/', 'http://www.instagram.com/yerrymina/']",                $22.00m                ,Yerry Fernando Mina González,,,,,
Ben Godfrey,"Jan 15, 1998 ",York   ,24,"1,84 m",  England  Jamaica                            ,                            Defender - Centre-Back                        ,right,New Era Global Sports ,Everton FC ,"                                Oct 5, 2020                            ","Jun 30, 2025",,,"['http://twitter.com/BenG0dfrey', 'http://www.instagram.com/bengodfreyy/']",                $22.00m                ,Benjamin Matthew Godfrey,,,,,
Mason Holgate,"Oct 22, 1996 ",Doncaster   ,25,"1,87 m",  England  Jamaica                            ,                            Defender - Centre-Back                        ,right,New Era Global Sports ,Everton FC ,"                                Aug 13, 2015                            ","Jun 30, 2025","Mar 3, 2020",Nike,['http://www.instagram.com/masonholgate'],                $19.80m                ,Mason Anthony Holgate,,,,,
Vitaliy Mykolenko,"May 29, 1999 ",Cherkasy   ,23,"1,80 m",  Ukraine                            ,                            Defender - Left-Back                        ,left,ProStar ,Everton FC ,"                                Jan 1, 2022                            ","Jun 30, 2026",,,['http://www.instagram.com/mikola_16/'],                $19.80m                ,Миколенко Віталій Сергійович,,,,,
Ruben Vinagre,"Apr 9, 1999 ",Charneca da Caparica    ,23,"1,74 m",  Portugal                            ,                            Defender - Left-Back                        ,left,Jorge Pires ,Everton FC ,"                                Jul 27, 2022                            ","Jun 30, 2023",,,['http://www.instagram.com/rubenvinagrerv29/'],                $5.50m                ,Rúben Gonçalo Silva Nascimento Vinagre,Option to buy,Sporting CP,"Jun 30, 2026",,
Niels Nkounkou,"Nov 1, 2000 ",Pontoise   ,21,"1,80 m",  France  Congo                            ,                            Defender - Left-Back                        ,left,Sport Profile ,Everton FC ,"                                Jul 2, 2020                            ","Jun 30, 2023",,adidas,['http://www.instagram.com/nielsnkounkou35/'],                $2.42m                ,Niels Patrick Nkounkou,,,,,
Nathan Patterson,"Oct 16, 2001 ",Glasgow   ,20,"1,89 m",  Scotland                            ,                            Defender - Right-Back                        ,right,,Everton FC ,"                                Jan 4, 2022                            ","Jun 30, 2027",,,['http://www.instagram.com/nathan.patterson_/'],                $8.80m                ,,,,,,
Seamus Coleman,"Oct 11, 1988 ",Donegal   ,33,"1,77 m",  Ireland                            ,                            Defender - Right-Back                        ,right,,Everton FC ,"                                Jan 1, 2009                            ","Jun 30, 2023","Jul 28, 2021",Nike,,                $3.30m                ,Séamus Coleman,,,,,
Allan,"Jan 8, 1991 ",Rio de Janeiro   ,31,"1,75 m",  Brazil  Portugal                            ,                            midfield - Defensive Midfield                        ,right,,Everton FC ,"                                Sep 5, 2020                            ","Jun 30, 2023",,Nike,['http://www.instagram.com/allanmarques91/'],                $16.50m                ,,,,,,
Amadou Onana,"Aug 16, 2001 ",Dakar   ,21,"1,95 m",  Belgium  Senegal                            ,                            midfield - Defensive Midfield                        ,right,BTFM ,Everton FC ,"                                Aug 9, 2022                            ","Jun 30, 2027",,Nike,['http://www.instagram.com/its_onana/'],                $11.00m                ,Amadou Zeund Georges Ba Mvom Onana,,,,,
Jean Philippe Gbamin,"Sep 25, 1995 ",San-Pédro   ,26,"1,86 m",  Cote d'Ivoire  France                            ,                            midfield - Defensive Midfield                        ,right,Bernard Collignon ,Everton FC ,"                                Aug 2, 2019                            ","Jun 30, 2024",,Nike,"['http://www.facebook.com/Jean-Philippe-Gbamin-179803758861928/', 'http://www.instagram.com/jean_philippe_gbamin/']",                $9.90m                ,,,,,,
Abdoulaye Doucoure,"Jan 1, 1993 ",Meulan-en-Yvelines   ,29,"1,83 m",  Mali  France                            ,                            midfield - Central Midfield                        ,right,,Everton FC ,"                                Sep 8, 2020                            ","Jun 30, 2023",,,"['http://twitter.com/abdoudoucoure16', 'http://t.co/VajFFNivmX', 'http://t.co/z1wNnwzzjk']",                $24.20m                ,,club option 1 year,,,,
Andre Gomes,"Jul 30, 1993 ",Vila Nova de Gaia   ,29,"1,88 m",  Portugal                            ,                            midfield - Central Midfield                        ,right,Wasserman ,Everton FC ,"                                Jul 1, 2019                            ","Jun 30, 2024",,Nike,"['http://twitter.com/aftgomes', 'http://www.facebook.com/aftgomes/', 'http://www.instagram.com/aftgomes21/', 'http://andregomes.pt/']",                $19.80m                ,André Filipe Tavares Gomes,,,,,
Tom Davies,"Jun 30, 1998 ",Liverpool   ,24,"1,80 m",  England                            ,                            midfield - Central Midfield                        ,right,,Everton FC ,"                                Jan 1, 2017                            ","Jun 30, 2023","Apr 29, 2019",adidas,"['http://twitter.com/1TomDavies', 'http://www.instagram.com/1tomdavies/']",                $19.80m                ,Thomas Davies,,,,,
Dele Alli,"Apr 11, 1996 ",Milton Keynes   ,26,"1,88 m",  England  Nigeria                            ,                            midfield - Attacking Midfield                        ,right,CAA Base Ltd ,Everton FC ,"                                Jan 31, 2022                            ","Jun 30, 2024",,adidas,"['http://twitter.com/dele_official', 'http://www.facebook.com/DeleOfficial/', 'http://www.instagram.com/dele/', 'http://www.tiktok.com/@dele']",                $17.60m                ,Bamidele Jermaine Alli,,,,,
Demarai Gray,"Jun 28, 1996 ",Birmingham   ,26,"1,83 m",  England  Jamaica                            ,                            attack - Left Winger                        ,right,P&P Sport Management S.A.M. ,Everton FC ,"                                Jul 22, 2021                            ","Jun 30, 2024",,adidas,"['http://twitter.com/22Demarai', 'http://www.instagram.com/demarai22/?hl=it']",                $24.20m                ,Demarai Ramelle Gray,Option for a further year,,,,
Anthony Gordon,"Feb 24, 2001 ",Liverpool   ,21,"1,82 m",  England                            ,                            attack - Left Winger                        ,right,Unique Sports Group ,Everton FC ,"                                Jan 1, 2020                            ","Jun 30, 2025","Sep 1, 2020",,"['http://twitter.com/anthonygordon', 'http://www.instagram.com/anthony.gordon59/']",                $22.00m                ,Anthony Michael Gordon,,,,,
Dwight Mcneil,"Nov 22, 1999 ",Rochdale   ,22,"1,83 m",  England                            ,                            attack - Left Winger                        ,left,Unique Sports Group ,Everton FC ,"                                Jul 28, 2022                            ","Jun 30, 2027",,,['http://www.instagram.com/dwightmc99/'],                $19.80m                ,Dwight James Matthew McNeil,,,,,
Alex Iwobi,"May 3, 1996 ",Lagos   ,26,"1,83 m",  Nigeria  England                            ,                            attack - Left Winger                        ,right,Elite Project Group Ltd ,Everton FC ,"                                Aug 8, 2019                            ","Jun 30, 2024",,Nike,"['http://twitter.com/AlexIwobi', 'http://www.facebook.com/AlexIwobiOfficial', 'http://www.instagram.com/alexanderiwobi/']",                $19.80m                ,Alexander Chuka Iwobi,,,,,
Andros Townsend,"Jul 16, 1991 ",Walthamstow   ,31,"1,81 m",  England                            ,                            attack - Right Winger                        ,left,Unique Sports Group ,Everton FC ,"                                Jul 20, 2021                            ","Jun 30, 2023",,adidas,"['http://twitter.com/andros_townsend', 'http://www.instagram.com/officialtownsend/']",                $5.50m                ,Andros Darryl Townsend,,,,,
Dominic Calvert Lewin,"Mar 16, 1997 ",Sheffield   ,25,"1,89 m",  England                            ,                            attack - Centre-Forward                        ,right,11WINS ,Everton FC ,"                                Aug 31, 2016                            ","Jun 30, 2025","Mar 6, 2020",Nike,"['http://twitter.com/calvertlewin14', 'http://www.instagram.com/domcalvertlewin/']",                $44.00m                ,Dominic Nathaniel Calvert-Lewin,,,,,
Salomon Rondon,"Sep 16, 1989 ",Caracas   ,32,"1,86 m",  Venezuela                            ,                            attack - Centre-Forward                        ,right,JM10 SPORT ,Everton FC ,"                                Aug 31, 2021                            ","Jun 30, 2023",,Nike,"['http://twitter.com/salorondon23', 'http://www.facebook.com/salorondon23', 'http://www.instagram.com/salorondon23/']",                $2.75m                ,José Salomón Rondón Giménez,Option for a further year,,,,
Jose Sa,"Jan 17, 1993 ",Braga   ,29,"1,92 m",  Portugal                            ,                            Goalkeeper                        ,right,Gestifute ,Wolverhampton Wanderers ,"                                Jul 15, 2021                            ","Jun 30, 2026",,,"['http://www.facebook.com/josesaoficial', 'http://www.instagram.com/josesaoficial/']",                $19.80m                ,José Pedro Malheiro de Sá,,,,,
Matija Sarkic,"Jul 23, 1997 ",Grimsby   ,25,"1,94 m",  Montenegro  England                            ,                            Goalkeeper                        ,right,Unique Sports Group ,Wolverhampton Wanderers ,"                                Jul 27, 2020                            ","Jun 30, 2025","Jul 11, 2022",,"['http://twitter.com/sarkicmatija', 'http://www.instagram.com/matijasarkic/']",                $1.98m                ,Matija Šarkić,,,,,
Max Kilman,"May 23, 1997 ",London   ,25,"1,94 m",  England  Ukraine                            ,                            Defender - Centre-Back                        ,left,Wasserman ,Wolverhampton Wanderers ,"                                Aug 9, 2018                            ","Jun 30, 2026","Nov 5, 2021",,"['http://twitter.com/maxkilman', 'http://www.instagram.com/maximiliankilman/']",                $17.60m                ,Maximilian William Kilman,Option for a further year,,,,
Nathan Collins,"Apr 30, 2001 ",Leixlip   ,21,"1,93 m",  Ireland                            ,                            Defender - Centre-Back                        ,right,,Wolverhampton Wanderers ,"                                Jul 12, 2022                            ","Jun 30, 2027",,,['http://www.instagram.com/_nathancollins/'],                $11.00m                ,Nathan Michael Collins,Option for a further year,,,,
Willy Boly,"Feb 3, 1991 ",Melun   ,31,"1,95 m",  Cote d'Ivoire  France                            ,                            Defender - Centre-Back                        ,right,Sport Cover ,Wolverhampton Wanderers ,"                                Jul 1, 2018                            ","Jun 30, 2023",,Nike,,                $6.60m                ,Willy-Arnaud Zobo Boly,,,,,
Yerson Mosquera,"May 2, 2001 ",Apartadó   ,21,"1,88 m",  Colombia                            ,                            Defender - Centre-Back                        ,right,Goal Management SAS ,Wolverhampton Wanderers ,"                                Jul 1, 2021                            ","Jun 30, 2026",,,['http://www.instagram.com/yersonmosquera_15/'],                $3.30m                ,Yerson Mosquera Valdelamar,,,,,
Toti,"Jan 16, 1999 ",Bissau   ,23,"1,87 m",  Portugal  Guinea-Bissau                            ,                            Defender - Centre-Back                        ,left,Element Twelve ,Wolverhampton Wanderers ,"                                Sep 2, 2020                            ","Jun 30, 2027","Mar 21, 2022",,,                $1.65m                ,,,,,,
Rayan Ait Nouri,"Jun 6, 2001 ",Montreuil   ,21,"1,80 m",  France  Algeria                            ,                            Defender - Left-Back                        ,left,Gestifute ,Wolverhampton Wanderers ,"                                Jul 9, 2021                            ","Jun 30, 2026",,,['http://www.instagram.com/r.aitnouri/'],                $22.00m                ,Rayan Aït-Nouri,club option 1 year,,,,
Jonny Otto,"Mar 3, 1994 ",Vigo   ,28,"1,75 m",  Spain                            ,                            Defender - Left-Back                        ,both,Intermedia Sport Player ,Wolverhampton Wanderers ,"                                Jan 31, 2019                            ","Jun 30, 2025","Feb 10, 2021",,"['http://twitter.com/JonnyOtto19', 'http://www.instagram.com/jonnyotto19/']",                $16.50m                ,Jonathan Castro Otto,,,,,
Nelson Semedo,"Nov 16, 1993 ",Lisboa   ,28,"1,77 m",  Portugal  Cape Verde                            ,                            Defender - Right-Back                        ,right,Gestifute ,Wolverhampton Wanderers ,"                                Sep 23, 2020                            ","Jun 30, 2023",,Nike,"['http://twitter.com/_nelsonsemedo_', 'http://www.facebook.com/OficialNelsonSemedo/', 'http://www.instagram.com/nelsonsemedo50/']",                $24.20m                ,Nélson Cabral Semedo,club option 2 years,,,,
Ruben Neves,"Mar 13, 1997 ",Santa Maria da Feira   ,25,"1,80 m",  Portugal                            ,                            midfield - Defensive Midfield                        ,right,Gestifute ,Wolverhampton Wanderers ,"                                Jul 8, 2017                            ","Jun 30, 2024","Jul 2, 2018",Nike,"['http://twitter.com/rubendsneves_', 'http://www.facebook.com/rubendsneves/', 'http://www.instagram.com/rubendsneves/', 'http://www.rubenneves.pt/']",                $44.00m                ,Rúben Diogo da Silva Neves,,,,,
Leander Dendoncker,"Apr 15, 1995 ",Passendale   ,27,"1,88 m",  Belgium                            ,                            midfield - Defensive Midfield                        ,right,Wasserman ,Wolverhampton Wanderers ,"                                Jul 1, 2019                            ","Jun 30, 2023","Dec 14, 2020",Nike,,                $30.80m                ,,club option 1 year,,,,
Matheus Nunes,"Aug 27, 1998 ",Rio de Janeiro   ,23,"1,83 m",  Portugal  Brazil                            ,                            midfield - Central Midfield                        ,right,Gestifute ,Wolverhampton Wanderers ,"                                Aug 18, 2022                            ","Jun 30, 2027",,,['http://www.instagram.com/matheusnunes73/'],                $38.50m                ,,Option for a further year,,,,
Joao Moutinho,"Sep 8, 1986 ",Portimão   ,35,"1,70 m",  Portugal                            ,                            midfield - Central Midfield                        ,right,Gestifute ,Wolverhampton Wanderers ,"                                Jul 24, 2018                            ","Jun 30, 2023","Jul 4, 2022",adidas,"['http://twitter.com/JoaoMoutinho', 'http://www.facebook.com/JoaoMoutinhoOficial/', 'http://www.instagram.com/joaomoutinho8/']",                $2.75m                ,João Filipe Iria Santos Moutinho,,,,,
Bruno Jordao,"Oct 12, 1998 ",Marinha Grande   ,23,"1,80 m",  Portugal                            ,                            midfield - Central Midfield                        ,right,Gestifute ,Wolverhampton Wanderers ,"                                Aug 2, 2019                            ","Jun 30, 2024",,adidas,['http://www.instagram.com/jordao_66/'],                $1.76m                ,Bruno André Cavaco Jordão,,,,,
Luke Cundle,"Apr 26, 2002 ",Warrington   ,20,"1,71 m",  England                            ,                            midfield - Central Midfield                        ,right,World in Motion ,Wolverhampton Wanderers U21 ,"                                Jul 1, 2020                            ","Jun 30, 2026","Mar 1, 2022",,['http://www.instagram.com/luke_cundle/'],                $880Th.                ,Luke James Cundle,,,,Wolverhampton Wanderers (#39),
Connor Ronan,"Mar 6, 1998 ",Rochdale   ,24,"1,70 m",  Ireland  England                            ,                            midfield - Central Midfield                        ,right,PIR ,Wolverhampton Wanderers ,"                                Jan 1, 2017                            ","Jun 30, 2024","Sep 16, 2020",,"['http://twitter.com/ConnorRonan10', 'http://www.instagram.com/connorronan_20/']",                $825Th.                ,Connor Patrick Ronan,,,,,
Goncalo Guedes,"Nov 29, 1996 ",Benavente   ,25,"1,79 m",  Portugal                            ,                            attack - Left Winger                        ,right,Gestifute ,Wolverhampton Wanderers ,"                                Aug 8, 2022                            ","Jun 30, 2027",,Nike,"['http://twitter.com/gguedesoficial', 'http://www.instagram.com/goncaloguedes15/']",                $44.00m                ,Gonçalo Manuel Ganchinho Guedes,,,,,
Pedro Neto,"Mar 9, 2000 ",Viana do Castelo   ,22,"1,72 m",  Portugal                            ,                            attack - Left Winger                        ,left,Gestifute ,Wolverhampton Wanderers ,"                                Aug 2, 2019                            ","Jun 30, 2027","Mar 9, 2022",,"['http://www.facebook.com/pedrolombaneto', 'http://www.instagram.com/pedroneto_30/']",                $35.20m                ,Pedro Lomba Neto,,,,,
Chiquinho,"Feb 5, 2000 ",Cascais   ,22,"1,79 m",  Portugal  Cape Verde                            ,                            attack - Left Winger                        ,right,Quinas ,Wolverhampton Wanderers ,"                                Jan 17, 2022                            ","Jun 30, 2026",,,"['http://www.facebook.com/franciscogorge.oliveira', 'http://www.instagram.com/iam.francisco7']",                $3.30m                ,,,,,,
Daniel Podence,"Oct 21, 1995 ",Oeiras   ,26,"1,65 m",  Portugal                            ,                            attack - Right Winger                        ,right,Gestifute ,Wolverhampton Wanderers ,"                                Jan 30, 2020                            ","Jun 30, 2024",,,"['http://twitter.com/daniel_podence', 'http://www.instagram.com/podence/']",                $22.00m                ,Daniel Castelo Podence,,,,,
Adama Traore,"Jan 25, 1996 ",L'Hospitalet de Llobregat   ,26,"1,78 m",  Spain  Mali                            ,                            attack - Right Winger                        ,right,Gestifute ,Wolverhampton Wanderers ,"                                Aug 8, 2018                            ","Jun 30, 2023",,,"['http://twitter.com/AdamaTrd37', 'http://www.instagram.com/adamaTRD37/']",                $22.00m                ,Adama Traoré Diarra,,,,,
Raul Jimenez,"May 5, 1991 ",Tepeji del Río de Ocampo   ,31,"1,89 m",  Mexico                            ,                            attack - Centre-Forward                        ,right,,Wolverhampton Wanderers ,"                                Jul 1, 2019                            ","Jun 30, 2024","Oct 3, 2020",Nike,"['http://twitter.com/Raul_Jimenez9', 'http://www.facebook.com/RaulJimenezOficial/', 'http://www.instagram.com/raulalonsojimenez9/']",                $19.80m                ,Raúl Alonso Jiménez Rodríguez,,,,,
Hee Chan Hwang,"Jan 26, 1996 ","Chuncheon, Gangwon   ",26,"1,77 m","  Korea, South                            ",                            attack - Centre-Forward                        ,right,Relatives ,Wolverhampton Wanderers ,"                                Jul 1, 2022                            ","Jun 30, 2026",,,['http://www.instagram.com/hwangheechan/'],                $17.60m                ,황희찬,,,,,
Patrick Cutrone,"Jan 3, 1998 ",Como   ,24,"1,83 m",  Italy                            ,                            attack - Centre-Forward                        ,right,P&P Sport Management S.A.M. ,Wolverhampton Wanderers ,"                                Jul 30, 2019                            ","Jun 30, 2023",,adidas,['http://instagram.com/patrickcutrone/'],                $3.85m                ,,,,,,
Leo Bonatini,"Mar 28, 1994 ",Belo Horizonte   ,28,"1,85 m",  Brazil  Italy                            ,                            attack - Centre-Forward                        ,right,TFM Agency ,Wolverhampton Wanderers ,"                                Jul 1, 2018                            ","Jun 30, 2023",,,"['http://twitter.com/BonatiniOficial', 'http://t.co/zbLLHFpO89', 'http://www.instagram.com/leobonatini/']",                $550Th.                ,Leonardo Bonatini Lohner Maia,,,,,
David Raya,"Sep 15, 1995 ",Barcelona   ,26,"1,84 m",  Spain                            ,                            Goalkeeper                        ,right,FUTBOL21 AGENCY ,Brentford FC ,"                                Jul 6, 2019                            ","Jun 30, 2024","Oct 2, 2020",,['http://www.instagram.com/d.raya1/'],                $24.20m                ,David Raya Martin,,,,,
Thomas Strakosha,"Mar 19, 1995 ",Athens   ,27,"1,93 m",  Albania  Greece                            ,                            Goalkeeper                        ,right,,Brentford FC ,"                                Jul 14, 2022                            ","Jun 30, 2026",,Nike,['http://instagram.com/thomas_strakosha'],                $7.70m                ,Thomas Fotaq Strakosha / Θωμάς Στρακόσια,,,,,
Kristoffer Ajer,"Apr 17, 1998 ",Rælingen   ,24,"1,98 m",  Norway                            ,                            Defender - Centre-Back                        ,right,SEG ,Brentford FC ,"                                Jul 21, 2021                            ","Jun 30, 2026",,,['http://www.instagram.com/kristoffer.v.ajer/'],                $19.80m                ,Kristoffer Vassbakk Ajer,,,,,
Ethan Pinnock,"May 29, 1993 ",London   ,29,"1,94 m",  Jamaica  England                            ,                            Defender - Centre-Back                        ,left,Two Touch Agency ,Brentford FC ,"                                Jul 2, 2019                            ","Jun 30, 2025",,,"['http://twitter.com/EthanPinnock5', 'http://www.instagram.com/ethanpinnock_/']",                $13.20m                ,Ethan Rupert Pinnock,club option 1 year,,,,
Pontus Jansson,"Feb 13, 1991 ",Arlöv   ,31,"1,96 m",  Sweden                            ,                            Defender - Centre-Back                        ,right,MD Management ,Brentford FC ,"                                Jul 8, 2019                            ","Jun 30, 2023","Jan 14, 2022",,"['http://twitter.com/PJansson5', 'http://www.instagram.com/pontusjansson.18/']",                $7.70m                ,Pontus Sven Gustav Jansson,club option 1 year,,,,
Mads Bech Sorensen,"Jan 7, 1999 ",Horsens   ,23,"1,93 m",  Denmark                            ,                            Defender - Centre-Back                        ,left,People In Sport ,Brentford FC ,"                                Jul 1, 2018                            ","Jun 30, 2023",,,,                $5.50m                ,Mads Bech Sørensen,,,,,
Ben Mee,"Sep 21, 1989 ",Sale   ,32,"1,80 m",  England                            ,                            Defender - Centre-Back                        ,left,Stonemountain Management ,Brentford FC ,"                                Jul 22, 2022                            ","Jun 30, 2024",,,['http://www.instagram.com/benmee6/'],                $2.75m                ,Benjamin Thomas Mee,,,,,
Zanka,"Apr 23, 1990 ",Kopenhagen   ,32,"1,89 m",  Denmark  The Gambia                            ,                            Defender - Centre-Back                        ,right,,Brentford FC ,"                                Sep 9, 2021                            ","Jun 30, 2023","Aug 18, 2022",,"['http://twitter.com/Mzanka', 'http://www.instagram.com/mzanka/']",                $1.32m                ,,Option for a further year,,,,
Charlie Goode,"Aug 3, 1995 ",Watford   ,27,"1,96 m",  England                            ,                            Defender - Centre-Back                        ,right,HSD ,Brentford FC ,"                                Aug 19, 2020                            ","Jun 30, 2024",,,,                $990Th.                ,Charles James Goode,,,,,
Luka Racic,"May 8, 1999 ",Copenhagen   ,23,"1,87 m",  Denmark  Montenegro                            ,                            Defender - Centre-Back                        ,right,Boutique Transfers ,Brentford FC ,"                                Jul 1, 2019                            ","Jun 30, 2023",,,['http://www.instagram.com/lukaracic57/'],                $275Th.                ,,,,,,
Rico Henry,"Jul 8, 1997 ",Birmingham   ,25,"1,70 m",  England                            ,                            Defender - Left-Back                        ,left,,Brentford FC ,"                                Aug 31, 2016                            ","Jun 30, 2026","Mar 22, 2022",,"['http://twitter.com/ricohenry14', 'http://www.instagram.com/ricohenry/']",                $22.00m                ,Rico Antonio Henry,club option 1 year,,,,
Aaron Hickey,"Jun 10, 2002 ",Glasgow   ,20,"1,85 m",  Scotland                            ,                            Defender - Left-Back                        ,both,PLG ,Brentford FC ,"                                Jul 9, 2022                            ","Jun 30, 2026",,,['http://www.instagram.com/aaronhickey51/'],                $19.80m                ,Aaron Buchanan Hickey,,,,,
Mads Roerslev Rasmussen,"Jun 24, 1999 ",Copenhagen   ,23,"1,84 m",  Denmark                            ,                            Defender - Right-Back                        ,right,Boutique Transfers ,Brentford FC ,"                                Aug 7, 2019                            ","Jun 30, 2024","Mar 6, 2020",,,                $2.75m                ,,,,,,
Fin Stevens,"Apr 10, 2003 ",Brighton   ,19,"1,79 m",  Wales  England                            ,                            Defender - Right-Back                        ,right,Every Aspect ,Brentford FC ,"                                Jul 28, 2020                            ","Jun 30, 2027","Jun 6, 2022",,"['http://twitter.com/finstevens1', 'http://www.instagram.com/fin.stevens02']",                $440Th.                ,Finley John Stevens,,,,,
Christian Norgaard,"Mar 10, 1994 ",København   ,28,"1,87 m",  Denmark                            ,                            midfield - Defensive Midfield                        ,right,PEP Consulting ,Brentford FC ,"                                Jul 1, 2019                            ","Jun 30, 2025","Jan 1, 2022",Puma,['http://www.instagram.com/cnoergaard19/'],                $15.40m                ,Christian Thers Nørgaard,Option for a further year,,,,
Vitaly Janelt,"May 10, 1998 ",Hamburg   ,24,"1,84 m",  Germany                            ,                            midfield - Defensive Midfield                        ,left,Wasserman ,Brentford FC ,"                                Oct 3, 2020                            ","Jun 30, 2026","Apr 1, 2022",,['http://www.instagram.com/janeltvitaly/'],                $15.40m                ,,,,,,
Josh Dasilva,"Oct 23, 1998 ",London   ,23,"1,84 m",  England  Angola                            ,                            midfield - Defensive Midfield                        ,left,CAA Base Ltd ,Brentford FC ,"                                Aug 21, 2018                            ","Jun 30, 2024","Oct 6, 2020",,['http://twitter.com/joshdasilva_'],                $11.00m                ,Pelenda Joshua Tunga Dasilva,,,,,
Mathias Jensen,"Jan 1, 1996 ","Jerslev, West Zealand   ",26,"1,80 m",  Denmark                            ,                            midfield - Central Midfield                        ,right,Nordic Sky ,Brentford FC ,"                                Jul 10, 2019                            ","Jun 30, 2023",,Nike,,                $11.00m                ,,Option for a further year,,,,
Frank Onyeka,"Jan 1, 1998 ",Abuya   ,24,"1,83 m",  Nigeria                            ,                            midfield - Central Midfield                        ,right,Stirr Associates ,Brentford FC ,"                                Jul 20, 2021                            ","Jun 30, 2026",,,['http://www.instagram.com/_frankonyeka/'],                $9.90m                ,Ogochukwu Frank Onyeka,,,,,
Shandon Baptiste,"Apr 8, 1998 ",,24,"1,80 m",  Grenada  England                            ,                            midfield - Central Midfield                        ,right,CAA Base Ltd ,Brentford FC ,"                                Jan 31, 2020                            ","Jun 30, 2024",,,['http://www.instagram.com/sbap26/'],                $3.30m                ,Shandon Harkeem Baptiste,Option for a further year,,,,
Saman Ghoddos,"Sep 6, 1993 ",Malmö   ,28,"1,77 m",  Iran  Sweden                            ,                            midfield - Attacking Midfield                        ,right,CLS Mundial ,Brentford FC ,"                                Jan 14, 2021                            ","Jun 30, 2023",,,['http://www.instagram.com/saman.ghoddos/'],                $2.75m                ,سامان قدوس,Option for a further year,,,,
Mikkel Damsgaard,"Jul 3, 2000 ",Jyllinge   ,22,"1,80 m",  Denmark                            ,                            attack - Left Winger                        ,right,Boutique Transfers ,Brentford FC ,"                                Aug 10, 2022                            ","Jun 30, 2027",,Nike,['http://www.instagram.com/mikkeldamsgaard00/'],                $16.50m                ,Mikkel Krogh Damsgaard,,,,,
Yoane Wissa,"Sep 3, 1996 ",Epinay-sur-Seine   ,25,"1,80 m",  DR Congo  France                            ,                            attack - Left Winger                        ,right,,Brentford FC ,"                                Aug 10, 2021                            ","Jun 30, 2025",,,['http://www.instagram.com/yowissa/'],                $13.20m                ,,,,,,
Keane Lewis Potter,"Feb 22, 2001 ",Hull   ,21,"1,70 m",  England                            ,                            attack - Left Winger                        ,right,Major League Sports Management ,Brentford FC ,"                                Jul 12, 2022                            ","Jun 30, 2028",,,"['http://twitter.com/lewispotter_k', 'http://www.instagram.com/keane.lewispotter/']",                $13.20m                ,Keane William Lewis-Potter,club option 1 year,,,,
Bryan Mbeumo,"Aug 7, 1999 ",Avallon   ,23,"1,71 m",  Cameroon  France                            ,                            attack - Right Winger                        ,left,Frederic Guerra Player Agent ,Brentford FC ,"                                Aug 5, 2019                            ","Jun 30, 2026","Jan 26, 2022",,"['http://twitter.com/BMbeumo19', 'http://www.instagram.com/bryan_.m19/']",                $24.20m                ,,club option 1 year,,,,
